name,b_number,localization
yjcS,b4083,PE
yjdF,b4121,IM
yjeH,b4141,IM
yjeI,b4144,LPO
yjeM,b4156,IM
yjeO,b4158,IM
yjeT,b4176,IM
yjfF,b4231,IM
yjfL,b4184,IM
yjfN,b4188,PE
yjfY,b4199,PE
yjgN,b4257,IM
yjhB,b4279,IM
yjhF,b4296,IM
yjiG,b4329,IM
yjiH,b4330,IM
yjiJ,b4332,IM
yjiK,b4333,IM
yjiN,b4336,IM
yjiY,b4354,IM
yjjA,b4360,PE
yjjB,b4363,IM
yjjP,b4364,IM
ykfB,b0250,PE
ykgH,b0310,IM
ykgJ,b0288,PE
ylaC,b0458,IM
yliI,b0837,PE
ymbA,b0952,IM
ymfA,b1122,IM
ymfE,b1138,IM
ymfR,b1150,IM
ymgD,b1171,PE
ymgE,b1195,IM
ymgF,b4520,IM
ynaI,b1330,IM
ynaJ,b1332,IM
ynbA,b1408,IM
ynbB,b1409,IM
ynbD,b1411,IM
ynbE,b1382,LPO
yncD,b1451,OM
yncE,b1452,PE
yncJ,b1436,PE
yneE,b1520,IM
ynfA,b1582,IM
ynfB,b1583,OM
ynfD,b1586,PE
ynfE,b1587,IM
ynfF,b1588,IM
ynfH,b1590,IM
ynfM,b1596,IM
yniB,b1726,IM
ynjB,b1754,PE
ynjC,b1755,IM
ynjE,b1757,PE
ynjF,b1758,IM
ynjH,b1760,PE
ynjI,b1762,IM
yoaE,b1816,IM
yoaF,b1793,LPO
yoaI,b1788,MR
yobA,b1841,PE
yobD,b1820,IM
yodB,b1974,IM
yohC,b2135,IM
yohD,b2136,IM
yohJ,b2141,IM
yohK,b2142,IM
yohO,b4542,IM
yojI,b2211,IM
ypdA,b2380,IM
ypdI,b2376,LPO
ypeC,b2390,PE
ypfJ,b2475,MR
ypfN,b4547,IM
yphA,b2543,IM
yphD,b2546,IM
yphF,b2548,PE
ypjA,b2647,OM
ypjD,b2611,IM
ypjM_1,b2641,IM
ypjM_2,b2640,IM
yqaA,b2689,IM
yqaE,b2666,IM
yqcE,b2775,IM
yqeG,b2845,IM
yqeJ,b2848,MR
yqfA,b2899,IM
yqgA,b2966,IM
yqgD,b2941,IM
yqhA,b3002,IM
yqhG,b3013,PE
yqiG,b3046,OM
yqiH,b3047,PE
yqiI,b3048,EC
yqiJ,b3050,IM
yqiK,b3051,IM
yqjA,b3095,IM
yqjC,b3097,PE
yqjD,b3098,IM
yqjE,b3099,IM
yqjF,b3101,IM
yraH,b3142,EC
yraI,b3143,PE
yraJ,b3144,OM
yraK,b3145,EC
yraP,b3150,PE
yraQ,b3151,IM
yrbG,b3196,IM
yrfF,b3398,IM
ysaB,b4553,LPO
ytfB,b4206,MR
ytfF,b4210,IM
ytfJ,b4216,PE
ytfL,b4218,IM
ytfQ,b4227,PE
ytfT,b4230,IM
ytjA,b4568,IM
ytjB,b4387,IM
zinT,b1973,PE
zipA,b2412,IM
zitB,b0752,IM
zntA,b3469,IM
znuA,b1857,PE
znuB,b1859,IM
zraP,b4002,PE
zraS,b4003,IM
zupT,b3040,IM
