b_number,cog_letter,name,gene_product,go_class,go_term,cog_class,cog_category
b2528,S,isca,iron-sulfur cluster insertion protein IscA,component,cytosol,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,iron-sulfur cluster binding,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,metal ion binding,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,iron ion binding,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,structural molecule activity,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,"2 iron, 2 sulfur cluster binding",Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,ferrous iron binding,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,iron chaperone activity,Poorly Characterized,Function unknown
b2528,S,isca,iron-sulfur cluster insertion protein IscA,function,protein binding,Poorly Characterized,Function unknown
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,process,"regulation of transcription, DNA-templated",No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,component,cytosol,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,iron ion binding,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,identical protein binding,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,DNA-binding transcription factor activity,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,double-stranded DNA binding,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,"2 iron, 2 sulfur cluster binding",No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,iron-sulfur cluster binding,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,metal ion binding,No Annotation,No Annotation
b2531,No Annotation,iscr,DNA-binding transcriptional dual regulator IscR,function,DNA binding,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,process,[2Fe-2S] cluster assembly,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,process,tRNA processing,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,process,tRNA pseudouridine synthesis,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,process,iron-sulfur cluster assembly,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,process,oxazole or thiazole biosynthetic process,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,component,cytosol,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,component,cytoplasm,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,"2 iron, 2 sulfur cluster binding",No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,iron-sulfur cluster binding,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,metal ion binding,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,transferase activity,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,catalytic activity,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,sulfur carrier activity,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,pyridoxal phosphate binding,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,protein binding,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,cysteine desulfurase activity,No Annotation,No Annotation
b2530,No Annotation,iscs,cysteine desulfurase,function,selenocysteine lyase activity,No Annotation,No Annotation
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,process,cellular iron ion homeostasis,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,process,iron-sulfur cluster assembly,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,component,cytoplasm,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,component,cell,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,component,cytosol,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,ferrous iron binding,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,iron-sulfur cluster binding,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,iron ion binding,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,"4 iron, 4 sulfur cluster binding",Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,"2 iron, 2 sulfur cluster binding",Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,identical protein binding,Metabolism,Energy production and conversion
b2529,C,iscu,scaffold protein for iron-sulfur cluster assembly,function,protein binding,Metabolism,Energy production and conversion
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,process,negative regulation of catalytic activity,No Annotation,No Annotation
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,process,iron-sulfur cluster assembly,No Annotation,No Annotation
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,component,cytosol,No Annotation,No Annotation
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,function,ferrous iron binding,No Annotation,No Annotation
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,function,enzyme inhibitor activity,No Annotation,No Annotation
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,function,iron ion binding,No Annotation,No Annotation
b2524,No Annotation,iscx,accessory iron-sulfur cluster assembly protein IscX,function,protein binding,No Annotation,No Annotation
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,process,isoprenoid biosynthetic process,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,process,geranyl diphosphate biosynthetic process,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,process,farnesyl diphosphate biosynthetic process,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,component,cytosol,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,component,cytoplasm,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,function,protein binding,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,function,transferase activity,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,function,metal ion binding,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,function,geranyltranstransferase activity,Metabolism,Coenzyme transport and metabolism
b0421,H,ispa,geranyl diphosphate/farnesyl diphosphate synthase,function,dimethylallyltranstransferase activity,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,process,ubiquinone biosynthetic process,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,process,isoprenoid biosynthetic process,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,process,polyprenol biosynthetic process,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,component,cytosol,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,function,identical protein binding,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,function,protein binding,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,function,transferase activity,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,function,protein homodimerization activity,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,function,metal ion binding,Metabolism,Coenzyme transport and metabolism
b3187,H,ispb,<i>all-trans</i>-octaprenyl-diphosphate synthase,function,prenyltransferase activity,Metabolism,Coenzyme transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,process,terpenoid biosynthetic process,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,process,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,process,isoprenoid biosynthetic process,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,component,cytosol,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,cytidylyltransferase activity,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,nucleotidyltransferase activity,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,transferase activity,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,catalytic activity,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,identical protein binding,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,magnesium ion binding,Metabolism,Lipid transport and metabolism
b2747,I,ispd,2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,function,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,Metabolism,Lipid transport and metabolism
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,process,terpenoid biosynthetic process,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,process,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,process,phosphorylation,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,process,isoprenoid biosynthetic process,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,component,cytosol,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,function,protein binding,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,function,transferase activity,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,function,kinase activity,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,function,ATP binding,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,function,nucleotide binding,No Annotation,No Annotation
b1208,No Annotation,ispe,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,function,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",process,terpenoid biosynthetic process,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",process,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",process,isoprenoid biosynthetic process,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",process,ubiquinone biosynthetic process,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",component,cytosol,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,protein binding,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,lyase activity,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,manganese ion binding,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,zinc ion binding,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,identical protein binding,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,metal ion binding,No Annotation,No Annotation
b2746,No Annotation,ispf,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",function,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),process,cellular metabolic process,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),process,terpenoid biosynthetic process,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),process,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),process,oxidation-reduction process,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),process,isoprenoid biosynthetic process,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),component,cytosol,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,protein binding,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,oxidoreductase activity,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,iron ion binding,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,"4 iron, 4 sulfur cluster binding",No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,iron-sulfur cluster binding,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,metal ion binding,No Annotation,No Annotation
b2515,No Annotation,ispg,(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),function,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,process,terpenoid biosynthetic process,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,process,dimethylallyl diphosphate biosynthetic process,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,process,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,process,oxidation-reduction process,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,process,isoprenoid biosynthetic process,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,component,cytosol,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,"4 iron, 4 sulfur cluster binding",No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,oxidoreductase activity,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,"3 iron, 4 sulfur cluster binding",No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,iron-sulfur cluster binding,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,metal ion binding,No Annotation,No Annotation
b0029,No Annotation,isph,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,function,hydroxymethylbutenyl pyrophosphate reductase activity,No Annotation,No Annotation
b4435,No Annotation,isrc,small RNA IsrC,process,No Ontology,No Annotation,No Annotation
b4435,No Annotation,isrc,small RNA IsrC,component,No Ontology,No Annotation,No Annotation
b4435,No Annotation,isrc,small RNA IsrC,function,No Ontology,No Annotation,No Annotation
b4616,No Annotation,istr,"small regulatory RNA IstR-1 // ""small RNA IstR-2""",process,"negative regulation of translation, ncRNA-mediated",No Annotation,No Annotation
b4616,No Annotation,istr,"small regulatory RNA IstR-1 // ""small RNA IstR-2""",component,No Ontology,No Annotation,No Annotation
b4616,No Annotation,istr,"small regulatory RNA IstR-1 // ""small RNA IstR-2""",function,mRNA 5'-UTR binding,No Annotation,No Annotation
b4616,No Annotation,istr,"small regulatory RNA IstR-1 // ""small RNA IstR-2""",function,mRNA binding,No Annotation,No Annotation
b3672,No Annotation,ivbl,<i>ilvBN</i> operon leader peptide,process,branched-chain amino acid biosynthetic process,No Annotation,No Annotation
b3672,No Annotation,ivbl,<i>ilvBN</i> operon leader peptide,process,cellular amino acid biosynthetic process,No Annotation,No Annotation
b3672,No Annotation,ivbl,<i>ilvBN</i> operon leader peptide,process,valine biosynthetic process,No Annotation,No Annotation
b3672,No Annotation,ivbl,<i>ilvBN</i> operon leader peptide,component,cytosol,No Annotation,No Annotation
b3672,No Annotation,ivbl,<i>ilvBN</i> operon leader peptide,function,No Ontology,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",process,chaperone-mediated protein folding,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",process,negative regulation of catalytic activity,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",process,regulation of catalytic activity,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",component,outer membrane-bounded periplasmic space,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",component,periplasmic space,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",function,protein homodimerization activity,No Annotation,No Annotation
b0220,No Annotation,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",function,lysozyme inhibitor activity,No Annotation,No Annotation
b1152,No Annotation,jaye,e14 prophage; putative protein JayE,process,No Ontology,No Annotation,No Annotation
b1152,No Annotation,jaye,e14 prophage; putative protein JayE,component,cytosol,No Annotation,No Annotation
b1152,No Annotation,jaye,e14 prophage; putative protein JayE,function,No Ontology,No Annotation,No Annotation
b1732,P,kate,catalase HPII,process,cellular oxidant detoxification,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,process,response to oxidative stress,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,process,hyperosmotic response,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,process,cellular response to DNA damage stimulus,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,process,oxidation-reduction process,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,process,hydrogen peroxide catabolic process,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,component,cytoplasm,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,component,cytosol,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,metal ion binding,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,oxidoreductase activity,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,peroxidase activity,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,iron ion binding,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,identical protein binding,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,heme binding,Metabolism,Inorganic ion transport and metabolism
b1732,P,kate,catalase HPII,function,catalase activity,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,process,cellular oxidant detoxification,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,process,cellular response to hydrogen peroxide,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,process,response to oxidative stress,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,process,oxidation-reduction process,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,process,hydrogen peroxide catabolic process,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,component,cytosol,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,function,oxidoreductase activity,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,function,identical protein binding,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,function,heme binding,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,function,metal ion binding,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,function,catalase activity,Metabolism,Inorganic ion transport and metabolism
b3942,P,katg,catalase/hydroperoxidase HPI,function,peroxidase activity,Metabolism,Inorganic ion transport and metabolism
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",process,carbohydrate metabolic process,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",process,D-tagatose 6-phosphate catabolic process,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",component,protein-containing complex,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",component,cytosol,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,protein binding,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,identical protein binding,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,aldehyde-lyase activity,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,lyase activity,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,catalytic activity,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,zinc ion binding,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,metal ion binding,No Annotation,No Annotation
b3137,No Annotation,kbay,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaY",function,tagatose-bisphosphate aldolase activity,No Annotation,No Annotation
b3132,No Annotation,kbaz,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",process,carbohydrate metabolic process,No Annotation,No Annotation
b3132,No Annotation,kbaz,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",process,phosphoenolpyruvate-dependent sugar phosphotransferase system,No Annotation,No Annotation
b3132,No Annotation,kbaz,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",process,D-tagatose 6-phosphate catabolic process,No Annotation,No Annotation
b3132,No Annotation,kbaz,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",component,integral component of plasma membrane,No Annotation,No Annotation
b3132,No Annotation,kbaz,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",component,cytosol,No Annotation,No Annotation
b3132,No Annotation,kbaz,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",function,catalytic activity,No Annotation,No Annotation
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,process,threonine catabolic process,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,process,biosynthetic process,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,process,L-threonine catabolic process to glycine,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,component,cytosol,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,component,cytoplasm,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,function,catalytic activity,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,function,protein homodimerization activity,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,function,metal ion binding,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,function,ligase activity,Metabolism,Coenzyme transport and metabolism
b3617,H,kbl,2-amino-3-ketobutyrate CoA ligase,function,pyridoxal phosphate binding,Metabolism,Coenzyme transport and metabolism
