name,gene_product,complex_annotation,localization,go_terms,localization_group
ompt,protease 7,protease 7,OM,GO:0016787; GO:0016020; GO:0008233; GO:0031230; GO:0004252; GO:0004175; GO:0016021; GO:0006508; GO:0004190; GO:0009279,envelope
ompx,outer membrane protein X,outer membrane protein X,OM,GO:0044384; GO:0005515; GO:0016021; GO:0016020; GO:0009279,envelope
oppa,oligopeptide ABC transporter periplasmic binding protein,oligopeptide ABC transporter,PE,GO:1904680; GO:0043190; GO:1900750; GO:0055085; GO:0061077; GO:0009408; GO:0015833; GO:0030288; GO:0042597; GO:0015031; GO:0006857,envelope
osme,osmotically-inducible lipoprotein OsmE,osmotically-inducible lipoprotein OsmE,LPO,GO:0005515; GO:0019867; GO:0005886; GO:0016020; GO:0006970,envelope
osmy,periplasmic chaperone OsmY,periplasmic chaperone OsmY,PE,GO:0006970; GO:0006972; GO:0061077; GO:0005515; GO:0030288; GO:0042597,envelope
pal,peptidoglycan-associated outer membrane lipoprotein Pal,The Tol-Pal Cell Envelope Complex,LPO,GO:0007049; GO:0031246; GO:0032153; GO:0051301; GO:0016021; GO:0005515; GO:0016020; GO:0009279,envelope
pita,metal phosphate:H+ symporter PitA,metal phosphate:H+ symporter PitA,IM,GO:0010960; GO:0005515; GO:1902600; GO:0015710; GO:0015654; GO:0005887; GO:0071577; GO:0016020; GO:0006817; GO:1901683; GO:1901684; GO:0035435; GO:0015295; GO:0005385; GO:0005886; GO:0016021; GO:0005315,envelope
plda,outer membrane phospholipase A,outer membrane phospholipase A,OM,GO:0102568; GO:0102567; GO:0052740; GO:0052739; GO:0031230; GO:0008970; GO:0004622; GO:0046471; GO:0046872; GO:0016787; GO:0016021; GO:0016020; GO:0009279; GO:0004620; GO:0006629; GO:0045203; GO:0042803; GO:0016042; GO:0005509; GO:0004623,envelope
plig,inhibitor of g-type lysozyme,inhibitor of g-type lysozyme,PE,GO:0043086; GO:0005829; GO:0030288; GO:0042597; GO:0060241,envelope
pnta,pyridine nucleotide transhydrogenase subunit &alpha;,pyridine nucleotide transhydrogenase,IM,GO:1902600; GO:0050661; GO:0055114; GO:0016491; GO:0016021; GO:0016020; GO:0008746; GO:0000166; GO:0046983; GO:0005515; GO:0005887; GO:0051287; GO:0006740; GO:0005886; GO:0008750,envelope
pntb,pyridine nucleotide transhydrogenase subunit &beta;,pyridine nucleotide transhydrogenase,IM,GO:0055114; GO:0016021; GO:0016020; GO:0005515; GO:0006740; GO:0005886; GO:0005887; GO:0050661; GO:0008746; GO:0008750,envelope
potd,spermidine preferential ABC transporter periplasmic binding protein,spermidine preferential ABC transporter,PE,GO:0019809; GO:0019810; GO:0015847; GO:0015848; GO:0042597; GO:0019808; GO:0015846; GO:0030288,envelope
potf,putrescine ABC transporter periplasmic binding protein,putrescine ABC transporter,PE,GO:0019810; GO:0030288; GO:0015846; GO:0019808; GO:0015847; GO:0042597,envelope
ppia,peptidyl-prolyl cis-trans isomerase A,peptidyl-prolyl cis-trans isomerase A,PE,GO:0000413; GO:0042597; GO:0016853; GO:0003755; GO:0006457; GO:0030288,envelope
ppid,periplasmic folding chaperone,periplasmic folding chaperone,IM,GO:0005887; GO:0000413; GO:0071575; GO:0061077; GO:0042802; GO:0005886; GO:0016853; GO:0016021; GO:0016020; GO:0003755,envelope
prc,tail-specific protease,tail-specific protease,IM,GO:0007165; GO:0046677; GO:0016787; GO:0008233; GO:0030288; GO:0030163; GO:0004175; GO:0005886; GO:0016020; GO:0008236; GO:0006508,envelope
prop,osmolyte:H+ symporter ProP,osmolyte:H<sup>+</sup> symporter ProP,IM,GO:1902600; GO:0071475; GO:0007231; GO:0006865; GO:0005515; GO:0042803; GO:0071474; GO:1905647; GO:0031460; GO:0022857; GO:0016021; GO:0016020; GO:0015293; GO:0055085; GO:0005887; GO:0005297; GO:0005886,envelope
prow,glycine betaine ABC transporter membrane subunit ProW,glycine betaine ABC transporter membrane subunit ProW,IM,GO:1902603; GO:1902495; GO:0015226; GO:0055085; GO:0015837; GO:0005275; GO:0005887; GO:0006972; GO:0043190; GO:0031460; GO:0015871; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0006865,envelope
prox,glycine betaine ABC transporter periplasmic binding protein ProX,glycine betaine ABC transporter periplasmic binding protein ProX,PE,GO:0055085; GO:0043190; GO:0022857; GO:0005515; GO:0030288; GO:0050997; GO:0006972; GO:0031460; GO:0042597; GO:0006865,envelope
pspb,phage shock protein B,phage shock protein B,IM,GO:0009271; GO:0006355; GO:0005886; GO:0016021; GO:0016020,envelope
pspc,phage shock protein C,phage shock protein C,IM,GO:0005515; GO:0010557; GO:0005829; GO:0016021; GO:0016020; GO:0005886,envelope
pspe,thiosulfate sulfurtransferase PspE,thiosulfate sulfurtransferase PspE,PE,GO:0016740; GO:0030288; GO:0042597; GO:0004792,envelope
psts,phosphate ABC transporter periplasmic binding protein,phosphate ABC transporter,PE,GO:0043190; GO:0010921; GO:0009314; GO:0035435; GO:0042301; GO:0006974; GO:0030288; GO:0042597; GO:0006817,envelope
ptra,protease 3,protease 3,PE,GO:0042597; GO:0016787; GO:0008233; GO:0003824; GO:0030288; GO:0008270; GO:0005737; GO:0004222; GO:0046872; GO:0008237; GO:0006508,envelope
ptsg,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""",glucose-specific PTS enzyme II,IM,GO:1904659; GO:0005515; GO:0090564; GO:0005829; GO:0098708; GO:0005887; GO:0005355; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,envelope
ptsg,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""",Mlc-PtsG,IM,GO:1904659; GO:0005515; GO:0090564; GO:0005829; GO:0098708; GO:0005887; GO:0005355; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,envelope
rbsb,ribose ABC transporter periplasmic binding protein,ribose ABC transporter,PE,GO:0015752; GO:0050918; GO:0048029; GO:0005515; GO:0030288; GO:0042597; GO:0008643; GO:0006935,envelope
rbsc,ribose ABC transporter membrane subunit,ribose ABC transporter,IM,GO:0055085; GO:0022857; GO:0015752; GO:0015591; GO:0005515; GO:0043190; GO:0005887; GO:0005886; GO:0016021; GO:0016020; GO:0008643,envelope
rcsd,"RcsD-N-phospho-L-histidine // ""RcsD phosphotransferase""","RcsD-N-phospho-L-histidine // ""RcsD phosphotransferase""",IM,GO:0005886; GO:0046777; GO:0023014; GO:0016774; GO:0004673; GO:0000155; GO:0005515; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0005524; GO:0000166; GO:0016310; GO:0009927; GO:0005887; GO:0018106; GO:0000160,envelope
rcsf,sensor lipoprotein RcsF,sensor lipoprotein RcsF,LPO,GO:0036406; GO:0035556; GO:0070299; GO:0036460; GO:0007165; GO:0031240; GO:0031241; GO:0005515; GO:0016020; GO:0009279,envelope
rlpa,rare lipoprotein RlpA,rare lipoprotein RlpA,LPO,GO:0008932; GO:0000270; GO:0043093; GO:0071555; GO:0016829; GO:0042834; GO:0009279; GO:0005886; GO:0016020,envelope
rne,ribonuclease E,degradosome,IM,GO:0090502; GO:0004521; GO:1990061; GO:0042802; GO:1902280; GO:0017151; GO:0008312; GO:0051289; GO:0003676; GO:0090501; GO:0090305; GO:0008995; GO:0046872; GO:0016020; GO:0009898; GO:0008270; GO:0008033; GO:0006402; GO:0006364; GO:0000287; GO:0006396; GO:0004540; GO:0005886; GO:0005737; GO:0000967; GO:0016787; GO:0005515; GO:0004519; GO:0004518; GO:0003723; GO:0006401,envelope
rne,ribonuclease E,ribonuclease E,IM,GO:0090502; GO:0004521; GO:1990061; GO:0042802; GO:1902280; GO:0017151; GO:0008312; GO:0051289; GO:0003676; GO:0090501; GO:0090305; GO:0008995; GO:0046872; GO:0016020; GO:0009898; GO:0008270; GO:0008033; GO:0006402; GO:0006364; GO:0000287; GO:0006396; GO:0004540; GO:0005886; GO:0005737; GO:0000967; GO:0016787; GO:0005515; GO:0004519; GO:0004518; GO:0003723; GO:0006401,envelope
rodz,transmembrane component of cytoskeleton,transmembrane component of cytoskeleton,IM,GO:0043093; GO:0016021; GO:0016020; GO:0003677; GO:0005887; GO:0005886; GO:0008360; GO:0005515,envelope
rseb,anti-sigma factor stabilizing protein RseB,anti-sigma factor stabilizing protein RseB,PE,GO:0032885; GO:0042802; GO:0045152; GO:0050821; GO:0008289; GO:0030288; GO:0005515; GO:0042597,envelope
rsep,intramembrane zinc metalloprotease RseP,intramembrane zinc metalloprotease RseP,IM,GO:0045893; GO:0016787; GO:0016021; GO:0016020; GO:0008237; GO:0008233; GO:0005886; GO:0043856; GO:0045152; GO:0006950; GO:0005887; GO:0046872; GO:0004222; GO:0006508,envelope
rstb,"sensory histidine kinase RstB - phosphorylated // ""sensory histidine kinase RstB""","sensory histidine kinase RstB - phosphorylated // ""sensory histidine kinase RstB""",IM,GO:0047484; GO:0005887; GO:0000160; GO:0023014; GO:0016310; GO:0007165; GO:0016772; GO:0005524; GO:0000166; GO:0046777; GO:0005886; GO:0018106; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0004673; GO:0000155,envelope
rsxb,SoxR [2Fe-2S] reducing system protein RsxB,SoxR [2Fe-2S] reducing system protein RsxB,IM,GO:0005887; GO:0055114; GO:0009055; GO:0022900; GO:0005886; GO:0051539; GO:0051536; GO:0046872; GO:0016020,envelope
rsxg,SoxR [2Fe-2S] reducing system protein RsxG,SoxR [2Fe-2S] reducing system protein RsxG,IM,GO:0009279; GO:0055114; GO:0010181; GO:0009055; GO:0022900; GO:0005886; GO:0016021; GO:0016020,envelope
sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,sulfate/thiosulfate ABC transporter,PE,GO:1901681; GO:1902358; GO:0042597; GO:0043199; GO:0030288; GO:0008272; GO:0015419; GO:0006790,envelope
seca,protein translocation ATPase,protein translocation ATPase,IM,GO:0008270; GO:0015031; GO:0005737; GO:0070678; GO:0006886; GO:0031522; GO:0061077; GO:0005887; GO:0015462; GO:0016020; GO:0046872; GO:0017038; GO:0005829; GO:0042802; GO:0043952; GO:0005886; GO:0065002; GO:0006605; GO:0005524; GO:0005515; GO:0000166,envelope
secd,Sec translocon accessory complex subunit SecD,Sec Holo-Translocon,IM,GO:0065002; GO:0043952; GO:0006605; GO:0005515; GO:0015450; GO:0006886; GO:0005886; GO:0016021; GO:0016020; GO:0015031,envelope
secd,Sec translocon accessory complex subunit SecD,Sec translocon accessory complex,IM,GO:0065002; GO:0043952; GO:0006605; GO:0005515; GO:0015450; GO:0006886; GO:0005886; GO:0016021; GO:0016020; GO:0015031,envelope
sece,Sec translocon subunit SecE,Sec Holo-Translocon,IM,GO:0005515; GO:0008320; GO:0032978; GO:0006616; GO:0016020; GO:0015031; GO:0006886; GO:0015450; GO:0009306; GO:0006605; GO:0031522; GO:0005887; GO:0043952; GO:0005886; GO:0065002; GO:0016021,envelope
sece,Sec translocon subunit SecE,SecYEG translocon,IM,GO:0005515; GO:0008320; GO:0032978; GO:0006616; GO:0016020; GO:0015031; GO:0006886; GO:0015450; GO:0009306; GO:0006605; GO:0031522; GO:0005887; GO:0043952; GO:0005886; GO:0065002; GO:0016021,envelope
secf,Sec translocon accessory complex subunit SecF,Sec Holo-Translocon,IM,GO:0065002; GO:0043952; GO:0006605; GO:0015450; GO:0006886; GO:0005886; GO:0016021; GO:0016020; GO:0015031,envelope
secf,Sec translocon accessory complex subunit SecF,Sec translocon accessory complex,IM,GO:0065002; GO:0043952; GO:0006605; GO:0015450; GO:0006886; GO:0005886; GO:0016021; GO:0016020; GO:0015031,envelope
secg,Sec translocon subunit SecG,Sec Holo-Translocon,IM,GO:0015450; GO:0006886; GO:0032978; GO:0006616; GO:0005887; GO:0008320; GO:0031522; GO:0005515; GO:0016020; GO:0015031; GO:0009306; GO:0043952; GO:0005886; GO:0065002; GO:0016021,envelope
secg,Sec translocon subunit SecG,SecYEG translocon,IM,GO:0015450; GO:0006886; GO:0032978; GO:0006616; GO:0005887; GO:0008320; GO:0031522; GO:0005515; GO:0016020; GO:0015031; GO:0009306; GO:0043952; GO:0005886; GO:0065002; GO:0016021,envelope
secy,Sec translocon subunit SecY,Sec Holo-Translocon,IM,GO:0006605; GO:1901612; GO:0006886; GO:0005048; GO:0031522; GO:0008320; GO:0032978; GO:0006616; GO:0005887; GO:0016020; GO:0015031; GO:0043952; GO:0005886; GO:0065002; GO:0016021; GO:0005515,envelope
secy,Sec translocon subunit SecY,SecYEG translocon,IM,GO:0006605; GO:1901612; GO:0006886; GO:0005048; GO:0031522; GO:0008320; GO:0032978; GO:0006616; GO:0005887; GO:0016020; GO:0015031; GO:0043952; GO:0005886; GO:0065002; GO:0016021; GO:0005515,envelope
skp,periplasmic chaperone Skp,periplasmic chaperone Skp,PE,GO:0042802; GO:0022417; GO:0006457; GO:0061077; GO:0009279; GO:0042597; GO:0030288; GO:0032978; GO:0043165; GO:0050821; GO:0051082; GO:0001530; GO:0005515,envelope
slp,starvation lipoprotein,starvation lipoprotein,LPO,GO:0042802; GO:0019867; GO:0009279; GO:0016020; GO:0009279,envelope
slyb,outer membrane lipoprotein SlyB,outer membrane lipoprotein SlyB,LPO,GO:0019867; GO:0009279; GO:0009279; GO:0016020,envelope
sodc,superoxide dismutase (Cu-Zn),superoxide dismutase (Cu-Zn),PE,GO:0019430; GO:0046872; GO:0016491; GO:0016209; GO:0030288; GO:0055114; GO:0042597; GO:0008270; GO:0006801; GO:0005507; GO:0004784,envelope
sohb,S49 peptidase family protein,S49 peptidase family protein,IM,GO:0005887; GO:0004252; GO:0008236; GO:0005886; GO:0016787; GO:0016021; GO:0016020; GO:0008233; GO:0006508,envelope
sppa,"protease IV, a signal peptide peptidase","protease IV, a signal peptide peptidase",IM,GO:0016787; GO:0016021; GO:0008233; GO:0005886; GO:0006465; GO:0005887; GO:0004175; GO:0008236; GO:0016020; GO:0006508,envelope
spy,ATP-independent periplasmic chaperone,ATP-independent periplasmic chaperone,PE,GO:0005515; GO:0014070; GO:0051082; GO:1990507; GO:0061077; GO:0042803; GO:0030288; GO:0042597,envelope
srle,sorbitol-specific PTS enzyme IIBC1 component,sorbitol-specific PTS enzyme II,IM,GO:0034219; GO:0090563; GO:0005887; GO:0016310; GO:0005886; GO:0016740; GO:0016301; GO:0016021; GO:0016020; GO:0008982; GO:0008643; GO:0009401,envelope
sura,peptidyl-prolyl cis-trans isomerase SurA,peptidyl-prolyl cis-trans isomerase SurA,PE,GO:0061077; GO:0000413; GO:0042597; GO:0016853; GO:0060274; GO:0030288; GO:0042710; GO:0043165; GO:0050821; GO:0005515; GO:0042277; GO:0051082; GO:0003755; GO:0006457,envelope
tama,translocation and assembly module subunit TamA,translocation and assembly module,OM,GO:0089705; GO:0005515; GO:0015031; GO:0019867; GO:0016020; GO:0045203; GO:0016021; GO:0097347; GO:0009306; GO:0009279; GO:0009279,envelope
tamb,translocation and assembly module subunit TamB,translocation and assembly module,IM,GO:0089705; GO:0005515; GO:0009279; GO:0016021; GO:0016020; GO:0005886; GO:0097347; GO:0005887; GO:0009306,envelope
tap,methyl-accepting chemotaxis protein Tap,methyl-accepting chemotaxis protein - dipeptide-sensing,IM,GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tap,methyl-accepting chemotaxis protein Tap,chemotaxis signaling complex - dipeptide sensing,IM,GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tap,methyl-accepting chemotaxis protein Tap,Tap<SUP>gln</SUP>,IM,GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tap,methyl-accepting chemotaxis protein Tap,Tap<SUP>glu</SUP>,IM,GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tap,methyl-accepting chemotaxis protein Tap,Tap<SUP>glu-Me</SUP>,IM,GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tar,methyl-accepting chemotaxis protein Tar,methyl-accepting chemotaxis protein Tar,IM,GO:1901875; GO:0098561; GO:0071230; GO:0051260; GO:0050920; GO:0042803; GO:0009593; GO:0007172; GO:0043424; GO:0005887; GO:0004888; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tar,methyl-accepting chemotaxis protein Tar,chemotaxis signaling complex - aspartate sensing,IM,GO:1901875; GO:0098561; GO:0071230; GO:0051260; GO:0050920; GO:0042803; GO:0009593; GO:0007172; GO:0043424; GO:0005887; GO:0004888; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tar,methyl-accepting chemotaxis protein Tar,Tar<SUP>gln</SUP>,IM,GO:1901875; GO:0098561; GO:0071230; GO:0051260; GO:0050920; GO:0042803; GO:0009593; GO:0007172; GO:0043424; GO:0005887; GO:0004888; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tar,methyl-accepting chemotaxis protein Tar,Tar<SUP>glu</SUP>,IM,GO:1901875; GO:0098561; GO:0071230; GO:0051260; GO:0050920; GO:0042803; GO:0009593; GO:0007172; GO:0043424; GO:0005887; GO:0004888; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tar,methyl-accepting chemotaxis protein Tar,Tar<SUP>glu-Me</SUP>,IM,GO:1901875; GO:0098561; GO:0071230; GO:0051260; GO:0050920; GO:0042803; GO:0009593; GO:0007172; GO:0043424; GO:0005887; GO:0004888; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tata,twin arginine protein translocation system - TatA protein,twin arginine protein translocation system,IM,GO:0008320; GO:0005515; GO:0005829; GO:0042802; GO:0065002; GO:0016020; GO:0005886; GO:0043953; GO:0005887; GO:0033281; GO:0009977; GO:0015031; GO:0016021,envelope
tesa,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,PE,GO:0102991; GO:0016297; GO:0016296; GO:0016295; GO:0004320; GO:0004064; GO:0042597; GO:0016787; GO:0016298; GO:0042802; GO:0006629; GO:0006508; GO:0047617; GO:0016290; GO:0030288; GO:0004622; GO:0008233,envelope
tola,Tol-Pal system protein TolA,The Tol-Pal Cell Envelope Complex,IM,GO:1901998; GO:0019534; GO:0007049; GO:0097718; GO:0046790; GO:0019904; GO:0017038; GO:0046718; GO:0071237; GO:0032153; GO:0051301; GO:0005887; GO:0016020; GO:0005515; GO:0005886; GO:0043213; GO:0016021,envelope
tolb,Tol-Pal system periplasmic protein TolB,The Tol-Pal Cell Envelope Complex,PE,GO:0044877; GO:0032991; GO:0007049; GO:0019904; GO:0071237; GO:0032153; GO:0051301; GO:0042597; GO:0015031; GO:0005515; GO:0030288; GO:0043213; GO:0017038,envelope
tolc,outer membrane channel TolC,multidrug efflux pump EmrAB-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,multidrug efflux pump AcrEF-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,tripartite efflux pump EmrKY-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,multidrug efflux pump AcrAD-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,outer membrane channel TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,ABC-type tripartite efflux pump,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,multidrug efflux pump AcrAB-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,multidrug efflux pump MdtABC-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolc,outer membrane channel TolC,multidrug efflux pump MdtEF-TolC,OM,GO:0047485; GO:0034220; GO:0005216; GO:0045203; GO:0030288; GO:0015721; GO:0015125; GO:0042931; GO:0009636; GO:0042493; GO:0055085; GO:1990196; GO:1990281; GO:0005515; GO:0042802; GO:0046677; GO:0019867; GO:0016020; GO:0015562; GO:0015288; GO:0042930; GO:0014070; GO:0009279; GO:0016021,envelope
tolq,Tol-Pal system protein TolQ,The Tol-Pal Cell Envelope Complex,IM,GO:0007049; GO:0030313; GO:0032153; GO:0051301; GO:0005515; GO:0005887; GO:0016020; GO:0017038; GO:0005886; GO:0043213; GO:0016021,envelope
tolr,Tol-Pal system protein TolR,The Tol-Pal Cell Envelope Complex,IM,GO:0007049; GO:0055085; GO:0022857; GO:0032153; GO:0051301; GO:0005515; GO:0005887; GO:0016020; GO:0015031; GO:0005886; GO:0043213; GO:0016021,envelope
tonb,Ton complex subunit TonB,energy transducing Ton complex,IM,GO:0055085; GO:0019904; GO:0015343; GO:0071575; GO:0098797; GO:0098002; GO:0044718; GO:0016020; GO:0030288; GO:0005515; GO:0015891; GO:0042914; GO:0031992; GO:0015889; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
tonb,Ton complex subunit TonB,vitamin B12 outer membrane transport complex,IM,GO:0055085; GO:0019904; GO:0015343; GO:0071575; GO:0098797; GO:0098002; GO:0044718; GO:0016020; GO:0030288; GO:0005515; GO:0015891; GO:0042914; GO:0031992; GO:0015889; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
tonb,Ton complex subunit TonB,ferric enterobactin outer membrane transport complex,IM,GO:0055085; GO:0019904; GO:0015343; GO:0071575; GO:0098797; GO:0098002; GO:0044718; GO:0016020; GO:0030288; GO:0005515; GO:0015891; GO:0042914; GO:0031992; GO:0015889; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
tonb,Ton complex subunit TonB,ferrichrome outer membrane transport complex,IM,GO:0055085; GO:0019904; GO:0015343; GO:0071575; GO:0098797; GO:0098002; GO:0044718; GO:0016020; GO:0030288; GO:0005515; GO:0015891; GO:0042914; GO:0031992; GO:0015889; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
tonb,Ton complex subunit TonB,ferric citrate outer membrane transport complex,IM,GO:0055085; GO:0019904; GO:0015343; GO:0071575; GO:0098797; GO:0098002; GO:0044718; GO:0016020; GO:0030288; GO:0005515; GO:0015891; GO:0042914; GO:0031992; GO:0015889; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
tonb,Ton complex subunit TonB,ferric coprogen outer membrane transport complex,IM,GO:0055085; GO:0019904; GO:0015343; GO:0071575; GO:0098797; GO:0098002; GO:0044718; GO:0016020; GO:0030288; GO:0005515; GO:0015891; GO:0042914; GO:0031992; GO:0015889; GO:0005886; GO:0043213; GO:0016021; GO:0015031,envelope
tora,trimethylamine N-oxide reductase 1,menaquinol:trimethylamine <i>N</i>-oxide oxidoreductase I,PE,GO:0030151; GO:0043546; GO:0019645; GO:0042597; GO:0009055; GO:0055114; GO:0046872; GO:0005515; GO:0030288; GO:0009060; GO:0016491; GO:0050626; GO:0009061,envelope
tort,"TorT-TMAO // ""periplasmic trimethylamine-N-oxide binding protein""","TorT-TMAO // ""periplasmic trimethylamine-N-oxide binding protein""",PE,GO:0030288; GO:0009061; GO:0042597,envelope
torz,trimethylamine N-oxide reductase 2,trimethylamine N-oxide reductase 2,PE,GO:0030151; GO:0019645; GO:0009061; GO:0043546; GO:0046872; GO:0016491; GO:0009055; GO:0030288; GO:0055114; GO:0042597; GO:0050626,envelope
trea,periplasmic trehalase,periplasmic trehalase,PE,GO:0003824; GO:0042597; GO:0016798; GO:0016787; GO:0008152; GO:0005991; GO:0006974; GO:0005993; GO:0071474; GO:0030288; GO:0004555,envelope
trg,methyl-accepting chemotaxis protein Trg,methyl-accepting chemotaxis protein Trg - ribose/galactose/glucose-sensing,IM,GO:0098561; GO:0042803; GO:0005515; GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
trg,methyl-accepting chemotaxis protein Trg,chemotaxis signaling complex - ribose/galactose/glucose sensing,IM,GO:0098561; GO:0042803; GO:0005515; GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
trg,methyl-accepting chemotaxis protein Trg,Trg<SUP>gln</SUP>,IM,GO:0098561; GO:0042803; GO:0005515; GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
trg,methyl-accepting chemotaxis protein Trg,Trg<SUP>glu</SUP>,IM,GO:0098561; GO:0042803; GO:0005515; GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
trg,methyl-accepting chemotaxis protein Trg,Trg<SUP>glu-Me</SUP>,IM,GO:0098561; GO:0042803; GO:0005515; GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,envelope
tsr,methyl-accepting chemotaxis protein Tsr,methyl-accepting chemotaxis protein - serine-sensing,IM,GO:0048870; GO:0043113; GO:0042803; GO:0032110; GO:0016021; GO:0016020; GO:0009593; GO:0007172; GO:0007165; GO:0006935; GO:0005887; GO:0005886; GO:0005515; GO:0004888; GO:0050920; GO:0051260; GO:0071230; GO:0098561; GO:1902021,envelope
